Title,Price,Rating,Availability
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,0
You Are What You Love: The Spiritual Power of Habit,21.87,4,0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,0
Tuesday Nights in 1980,21.04,2,0
Tracing Numbers on a Train,41.6,3,0
Throne of Glass (Throne of Glass #1),35.07,3,0
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,0
Thirteen Reasons Why,52.72,1,0
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,0
The Wedding Dress,24.12,1,0
The Vacationers,42.15,4,0
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,0
The Stranger,17.44,4,0
The Shadow Hero (The Shadow Hero),33.14,1,0
The Secret (The Secret #1),27.37,4,0
The Regional Office Is Under Attack!,51.36,5,0
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,0
The Project,10.65,1,0
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,0
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,0
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,0
The Mistake (Off-Campus #2),43.29,3,0
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,0
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,0
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,0
The Kite Runner,41.82,4,0
The House by the Lake,36.95,1,0
The Glittering Court (The Glittering Court #1),44.28,1,0
The Girl on the Train,55.02,2,0
The Genius of Birds,17.24,1,0
The Emerald Mystery,23.15,2,0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,0
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,0
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,0
The Art of War,33.34,5,0
The Argonauts,10.93,2,0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,0
Suddenly in Love (Lake Haven #1),55.99,2,0
Something More Than This,16.24,4,0
Soft Apocalypse,26.12,2,0
So You've Been Publicly Shamed,12.23,2,0
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,0
"Shobu Samurai, Project Aryoku (#3)",29.06,3,0
Secrets and Lace (Fatal Hearts #1),20.27,1,0
Scarlett Epstein Hates It Here,43.55,5,0
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,0
Redeeming Love,20.47,5,0
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,0
Poems That Make Grown Women Cry,14.19,4,0
"Nightingale, Sing",38.28,1,0
Night Sky with Exit Wounds,41.05,1,0
Mrs. Houdini,30.25,5,0
Modern Romance,28.26,5,0
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,0
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,0
Little Red,13.47,3,0
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,0
Large Print Heart of the Pride,19.15,2,0
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,0
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,0
Grumbles,22.16,2,0
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,0
Frostbite (Vampire Academy #2),29.99,5,0
Follow You Home,21.36,1,0
First Steps for New Christians (Print Edition),29.0,1,0
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,0
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,0
Eureka Trivia 6.0,54.59,4,0
Drive: The Surprising Truth About What Motivates Us,34.95,4,0
Done Rubbed Out (Reightman & Bailey #1),37.72,5,0
Doing It Over (Most Likely To #1),35.61,3,0
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,0
